true_label,predicted_label
ashamed,guilty
lonely,anxious
prepared,joyful
devastated,annoyed
anxious,hopeful
guilty,angry
annoyed,annoyed
anxious,anxious
embarrassed,embarrassed
apprehensive,anxious
disgusted,disgusted
hopeful,apprehensive
prepared,prepared
surprised,surprised
furious,guilty
hopeful,anxious
ashamed,angry
sad,sad
impressed,impressed
surprised,excited
excited,anticipating
nostalgic,trusting
joyful,joyful
terrified,terrified
furious,guilty
caring,grateful
angry,guilty
anticipating,disappointed
prepared,anxious
anxious,anxious
disappointed,disgusted
sentimental,nostalgic
prepared,confident
grateful,hopeful
grateful,grateful
surprised,surprised
devastated,furious
sentimental,surprised
surprised,apprehensive
devastated,angry
afraid,afraid
disgusted,hopeful
jealous,disappointed
prepared,surprised
proud,prepared
caring,lonely
furious,furious
grateful,caring
embarrassed,furious
trusting,jealous
proud,content
jealous,lonely
apprehensive,excited
afraid,afraid
apprehensive,anxious
sad,sad
surprised,excited
sad,sad
surprised,surprised
embarrassed,annoyed
jealous,disappointed
sentimental,nostalgic
joyful,excited
angry,hopeful
nostalgic,caring
excited,excited
grateful,grateful
impressed,disappointed
guilty,guilty
annoyed,devastated
anxious,prepared
nostalgic,nostalgic
furious,terrified
jealous,sad
sad,disappointed
impressed,impressed
joyful,excited
content,content
anticipating,anticipating
hopeful,confident
lonely,terrified
apprehensive,trusting
guilty,sad
afraid,prepared
guilty,guilty
surprised,surprised
excited,excited
terrified,anxious
confident,anxious
excited,impressed
embarrassed,embarrassed
disappointed,annoyed
devastated,proud
afraid,disgusted
trusting,grateful
content,content
apprehensive,anxious
lonely,lonely
sad,devastated
excited,joyful
prepared,prepared
afraid,terrified
nostalgic,nostalgic
nostalgic,nostalgic
ashamed,guilty
surprised,surprised
afraid,afraid
anxious,apprehensive
anticipating,surprised
devastated,devastated
caring,annoyed
afraid,confident
nostalgic,excited
sentimental,furious
prepared,prepared
ashamed,guilty
sad,devastated
trusting,anxious
prepared,anxious
angry,annoyed
confident,confident
terrified,terrified
terrified,afraid
sentimental,caring
content,jealous
excited,confident
lonely,lonely
disappointed,disgusted
faithful,sad
jealous,embarrassed
impressed,impressed
confident,confident
furious,disappointed
trusting,faithful
apprehensive,terrified
ashamed,nostalgic
content,proud
annoyed,jealous
disappointed,embarrassed
faithful,impressed
embarrassed,ashamed
confident,hopeful
furious,angry
lonely,faithful
nostalgic,embarrassed
faithful,faithful
ashamed,disgusted
annoyed,furious
guilty,jealous
lonely,faithful
confident,hopeful
hopeful,hopeful
sad,lonely
lonely,lonely
sad,angry
afraid,terrified
annoyed,jealous
ashamed,guilty
confident,confident
prepared,prepared
impressed,impressed
anticipating,disappointed
ashamed,devastated
devastated,devastated
sad,anxious
excited,proud
surprised,annoyed
lonely,caring
caring,hopeful
faithful,faithful
content,apprehensive
devastated,devastated
furious,furious
guilty,guilty
guilty,embarrassed
guilty,impressed
sentimental,caring
terrified,surprised
afraid,afraid
surprised,caring
joyful,caring
joyful,joyful
disgusted,disgusted
disappointed,disappointed
content,content
prepared,prepared
sad,sad
joyful,surprised
impressed,grateful
hopeful,anxious
lonely,anxious
grateful,content
jealous,surprised
excited,excited
joyful,proud
sentimental,nostalgic
devastated,devastated
annoyed,jealous
surprised,caring
guilty,jealous
disappointed,hopeful
sad,angry
nostalgic,trusting
jealous,jealous
content,guilty
sentimental,angry
surprised,grateful
angry,angry
sentimental,nostalgic
excited,surprised
anxious,confident
jealous,content
nostalgic,sentimental
embarrassed,embarrassed
proud,proud
nostalgic,surprised
nostalgic,joyful
proud,hopeful
proud,proud
joyful,content
excited,hopeful
disappointed,annoyed
nostalgic,sentimental
afraid,surprised
anticipating,proud
sad,surprised
anxious,anxious
sentimental,devastated
afraid,terrified
nostalgic,devastated
nostalgic,nostalgic
nostalgic,nostalgic
devastated,apprehensive
hopeful,hopeful
excited,surprised
trusting,jealous
impressed,caring
embarrassed,angry
disgusted,furious
sad,sad
faithful,faithful
embarrassed,embarrassed
impressed,disgusted
embarrassed,embarrassed
lonely,lonely
surprised,joyful
afraid,terrified
grateful,content
embarrassed,hopeful
disgusted,surprised
terrified,terrified
surprised,disappointed
lonely,apprehensive
confident,embarrassed
grateful,grateful
trusting,trusting
disappointed,angry
afraid,afraid
surprised,furious
impressed,impressed
furious,trusting
excited,proud
annoyed,annoyed
sad,disappointed
excited,anticipating
angry,annoyed
annoyed,confident
guilty,guilty
confident,excited
apprehensive,guilty
terrified,terrified
devastated,sad
angry,angry
excited,excited
content,confident
faithful,jealous
surprised,disgusted
embarrassed,devastated
guilty,caring
anxious,afraid
content,content
confident,confident
excited,excited
angry,guilty
sentimental,caring
annoyed,annoyed
afraid,prepared
sentimental,nostalgic
disgusted,disgusted
impressed,trusting
angry,annoyed
angry,terrified
ashamed,devastated
jealous,angry
hopeful,surprised
surprised,surprised
lonely,lonely
disgusted,jealous
faithful,faithful
devastated,disappointed
embarrassed,jealous
excited,joyful
caring,grateful
embarrassed,embarrassed
hopeful,trusting
sentimental,joyful
content,annoyed
trusting,content
guilty,ashamed
surprised,surprised
anxious,apprehensive
jealous,jealous
lonely,lonely
faithful,disappointed
ashamed,guilty
excited,anticipating
anticipating,anticipating
surprised,hopeful
embarrassed,annoyed
prepared,anxious
faithful,disappointed
guilty,content
disgusted,disgusted
caring,annoyed
annoyed,sad
anxious,afraid
angry,furious
furious,angry
annoyed,annoyed
ashamed,embarrassed
furious,annoyed
caring,grateful
faithful,faithful
content,impressed
caring,caring
nostalgic,nostalgic
impressed,excited
furious,angry
impressed,proud
anxious,joyful
apprehensive,annoyed
grateful,jealous
sad,sad
afraid,proud
guilty,content
annoyed,angry
anticipating,anticipating
surprised,proud
embarrassed,embarrassed
ashamed,guilty
apprehensive,anxious
terrified,proud
content,prepared
content,joyful
jealous,confident
embarrassed,embarrassed
nostalgic,nostalgic
impressed,impressed
apprehensive,furious
ashamed,lonely
anxious,anxious
ashamed,guilty
afraid,surprised
devastated,caring
surprised,excited
joyful,proud
hopeful,confident
disgusted,disappointed
anticipating,anxious
jealous,jealous
disgusted,embarrassed
joyful,caring
nostalgic,excited
annoyed,annoyed
anticipating,impressed
afraid,anxious
trusting,angry
embarrassed,embarrassed
content,prepared
impressed,grateful
terrified,lonely
trusting,sentimental
anticipating,excited
devastated,lonely
devastated,sad
trusting,content
anxious,prepared
hopeful,devastated
lonely,lonely
furious,prepared
impressed,hopeful
proud,proud
excited,excited
embarrassed,nostalgic
lonely,prepared
surprised,lonely
embarrassed,anxious
disappointed,confident
guilty,guilty
sentimental,nostalgic
disappointed,disappointed
anxious,jealous
guilty,annoyed
joyful,surprised
embarrassed,surprised
sad,content
disappointed,disgusted
devastated,anxious
afraid,afraid
afraid,terrified
grateful,proud
impressed,caring
joyful,surprised
ashamed,guilty
caring,joyful
nostalgic,nostalgic
excited,excited
content,grateful
anticipating,excited
impressed,hopeful
joyful,surprised
disappointed,apprehensive
disgusted,disgusted
caring,caring
embarrassed,embarrassed
content,grateful
prepared,anticipating
surprised,grateful
content,content
sentimental,nostalgic
afraid,terrified
faithful,trusting
jealous,jealous
surprised,surprised
annoyed,annoyed
prepared,prepared
jealous,jealous
devastated,disappointed
grateful,apprehensive
surprised,caring
anxious,anxious
angry,hopeful
excited,surprised
disappointed,nostalgic
guilty,angry
annoyed,disgusted
confident,proud
sentimental,annoyed
anticipating,excited
embarrassed,embarrassed
guilty,guilty
afraid,furious
anticipating,excited
prepared,hopeful
jealous,lonely
excited,impressed
apprehensive,apprehensive
lonely,sad
jealous,jealous
excited,guilty
angry,guilty
prepared,prepared
angry,grateful
sad,caring
anticipating,content
ashamed,guilty
grateful,surprised
prepared,prepared
anxious,anxious
disappointed,terrified
sad,devastated
proud,proud
annoyed,jealous
anxious,prepared
guilty,guilty
prepared,confident
ashamed,ashamed
annoyed,content
joyful,content
faithful,surprised
lonely,lonely
angry,devastated
grateful,caring
surprised,surprised
disgusted,disgusted
disgusted,annoyed
proud,proud
annoyed,terrified
proud,proud
nostalgic,sentimental
impressed,proud
disgusted,angry
hopeful,anticipating
ashamed,embarrassed
excited,excited
embarrassed,disgusted
prepared,anticipating
sentimental,sentimental
grateful,embarrassed
apprehensive,lonely
anticipating,anticipating
annoyed,anxious
jealous,jealous
surprised,impressed
sad,surprised
nostalgic,sentimental
confident,proud
impressed,lonely
confident,hopeful
confident,embarrassed
trusting,trusting
lonely,lonely
faithful,furious
sad,devastated
nostalgic,disappointed
caring,disappointed
confident,confident
excited,content
devastated,angry
proud,proud
anticipating,nostalgic
apprehensive,prepared
content,content
anxious,excited
confident,prepared
terrified,devastated
lonely,lonely
confident,jealous
afraid,ashamed
prepared,hopeful
content,afraid
caring,grateful
proud,proud
anticipating,anticipating
annoyed,annoyed
anxious,prepared
guilty,anxious
confident,confident
jealous,jealous
ashamed,devastated
faithful,caring
prepared,terrified
embarrassed,embarrassed
hopeful,hopeful
disgusted,disgusted
anticipating,nostalgic
lonely,lonely
joyful,joyful
sad,terrified
sad,faithful
furious,disappointed
angry,furious
trusting,trusting
impressed,impressed
surprised,confident
content,grateful
devastated,sad
apprehensive,embarrassed
grateful,guilty
joyful,trusting
joyful,surprised
lonely,annoyed
grateful,confident
annoyed,sad
impressed,impressed
caring,caring
prepared,impressed
jealous,disappointed
lonely,lonely
confident,confident
proud,proud
afraid,terrified
furious,furious
lonely,sentimental
afraid,hopeful
nostalgic,nostalgic
anxious,anxious
furious,trusting
excited,excited
guilty,caring
prepared,confident
joyful,anticipating
sad,caring
joyful,afraid
nostalgic,proud
anticipating,content
trusting,trusting
prepared,confident
joyful,grateful
excited,impressed
disappointed,anticipating
prepared,apprehensive
content,proud
joyful,content
grateful,sentimental
trusting,proud
afraid,afraid
trusting,anxious
disappointed,disappointed
trusting,trusting
afraid,furious
sad,disappointed
apprehensive,confident
terrified,anxious
sad,sad
hopeful,content
anxious,anxious
disappointed,disappointed
annoyed,annoyed
afraid,jealous
terrified,afraid
disgusted,jealous
sentimental,sentimental
guilty,guilty
furious,ashamed
lonely,apprehensive
sentimental,surprised
devastated,furious
annoyed,prepared
ashamed,guilty
surprised,surprised
ashamed,disgusted
surprised,sentimental
content,joyful
jealous,hopeful
joyful,nostalgic
anticipating,anticipating
joyful,content
guilty,angry
excited,proud
impressed,lonely
anticipating,sentimental
ashamed,lonely
content,content
caring,caring
ashamed,annoyed
content,content
furious,furious
content,content
joyful,content
content,jealous
embarrassed,embarrassed
impressed,impressed
terrified,ashamed
excited,excited
nostalgic,nostalgic
disappointed,confident
confident,proud
angry,embarrassed
proud,excited
hopeful,hopeful
angry,furious
anxious,surprised
confident,excited
devastated,disappointed
caring,annoyed
trusting,trusting
hopeful,hopeful
joyful,grateful
nostalgic,sad
grateful,jealous
furious,angry
caring,sad
annoyed,ashamed
hopeful,joyful
disgusted,disgusted
trusting,impressed
excited,excited
anticipating,excited
prepared,confident
hopeful,confident
prepared,confident
disgusted,disgusted
sad,sad
annoyed,grateful
apprehensive,guilty
faithful,annoyed
impressed,disappointed
disgusted,afraid
nostalgic,confident
jealous,proud
grateful,grateful
anticipating,excited
surprised,surprised
nostalgic,nostalgic
embarrassed,guilty
excited,excited
disappointed,disappointed
sad,devastated
anxious,excited
grateful,disgusted
lonely,content
annoyed,embarrassed
apprehensive,caring
devastated,devastated
jealous,sentimental
nostalgic,nostalgic
devastated,prepared
impressed,impressed
confident,confident
anxious,content
hopeful,hopeful
proud,proud
hopeful,hopeful
impressed,impressed
terrified,terrified
joyful,content
prepared,prepared
annoyed,furious
prepared,prepared
joyful,impressed
grateful,grateful
hopeful,jealous
afraid,proud
prepared,prepared
surprised,anxious
hopeful,jealous
surprised,hopeful
surprised,grateful
caring,faithful
faithful,surprised
impressed,hopeful
excited,excited
nostalgic,nostalgic
devastated,sad
disgusted,disgusted
content,grateful
angry,prepared
joyful,confident
terrified,terrified
embarrassed,embarrassed
guilty,guilty
disappointed,embarrassed
hopeful,caring
faithful,faithful
jealous,jealous
prepared,anxious
nostalgic,annoyed
guilty,guilty
jealous,jealous
proud,anxious
jealous,annoyed
impressed,impressed
furious,angry
sad,guilty
lonely,lonely
grateful,faithful
jealous,jealous
surprised,surprised
lonely,apprehensive
guilty,guilty
nostalgic,sentimental
joyful,guilty
devastated,disappointed
excited,surprised
excited,confident
grateful,grateful
excited,content
annoyed,content
prepared,prepared
proud,excited
anticipating,anticipating
impressed,impressed
grateful,trusting
surprised,impressed
anticipating,excited
embarrassed,embarrassed
grateful,grateful
jealous,jealous
trusting,trusting
terrified,terrified
trusting,apprehensive
disappointed,disappointed
embarrassed,embarrassed
sentimental,lonely
annoyed,annoyed
surprised,confident
prepared,confident
anxious,hopeful
sad,sad
sentimental,lonely
impressed,apprehensive
ashamed,jealous
sad,excited
lonely,trusting
furious,devastated
trusting,grateful
guilty,guilty
disappointed,annoyed
joyful,proud
nostalgic,nostalgic
proud,impressed
anticipating,anticipating
surprised,faithful
surprised,hopeful
guilty,nostalgic
surprised,terrified
lonely,grateful
sad,sad
hopeful,hopeful
prepared,prepared
sentimental,lonely
excited,anticipating
afraid,caring
jealous,trusting
joyful,surprised
hopeful,excited
caring,caring
confident,sad
prepared,prepared
surprised,nostalgic
lonely,lonely
embarrassed,embarrassed
hopeful,proud
disgusted,jealous
content,jealous
annoyed,angry
jealous,sentimental
impressed,disgusted
embarrassed,embarrassed
devastated,devastated
impressed,impressed
surprised,jealous
excited,excited
afraid,terrified
impressed,trusting
anxious,anxious
surprised,sentimental
embarrassed,excited
guilty,disappointed
sad,annoyed
furious,disappointed
prepared,anticipating
confident,guilty
anticipating,anticipating
nostalgic,nostalgic
excited,surprised
sentimental,surprised
anxious,anxious
annoyed,annoyed
content,content
anticipating,caring
proud,impressed
jealous,jealous
proud,proud
anxious,ashamed
disgusted,disgusted
afraid,terrified
embarrassed,annoyed
apprehensive,surprised
devastated,guilty
joyful,excited
disgusted,angry
jealous,jealous
annoyed,terrified
hopeful,hopeful
guilty,guilty
prepared,prepared
angry,embarrassed
embarrassed,annoyed
impressed,proud
disappointed,annoyed
grateful,lonely
terrified,devastated
sad,devastated
sentimental,terrified
angry,furious
disappointed,embarrassed
jealous,nostalgic
sad,sad
annoyed,devastated
apprehensive,anxious
lonely,lonely
terrified,caring
surprised,nostalgic
angry,disgusted
surprised,disappointed
confident,hopeful
jealous,guilty
apprehensive,annoyed
excited,content
sad,devastated
impressed,annoyed
nostalgic,nostalgic
prepared,afraid
prepared,surprised
angry,sentimental
trusting,guilty
disappointed,excited
anticipating,hopeful
sad,jealous
excited,excited
surprised,furious
anticipating,grateful
afraid,surprised
prepared,lonely
excited,surprised
ashamed,disappointed
lonely,caring
furious,annoyed
content,joyful
disgusted,guilty
annoyed,surprised
hopeful,anxious
confident,confident
anxious,surprised
prepared,anxious
content,annoyed
anxious,hopeful
apprehensive,hopeful
surprised,disappointed
ashamed,anxious
anxious,anxious
surprised,disappointed
surprised,surprised
caring,anxious
lonely,trusting
surprised,surprised
guilty,caring
grateful,grateful
jealous,anxious
afraid,prepared
guilty,surprised
devastated,caring
afraid,terrified
sad,sad
devastated,devastated
hopeful,content
faithful,apprehensive
nostalgic,guilty
furious,angry
surprised,surprised
caring,caring
anxious,anxious
trusting,angry
lonely,faithful
afraid,anxious
jealous,jealous
disappointed,furious
devastated,devastated
content,content
surprised,surprised
proud,content
confident,embarrassed
ashamed,embarrassed
annoyed,jealous
apprehensive,disappointed
annoyed,surprised
disappointed,jealous
sad,content
guilty,guilty
embarrassed,nostalgic
lonely,sentimental
disappointed,guilty
annoyed,annoyed
content,proud
lonely,guilty
embarrassed,guilty
afraid,guilty
surprised,joyful
devastated,devastated
disgusted,disgusted
furious,caring
excited,impressed
content,lonely
disgusted,disgusted
embarrassed,nostalgic
devastated,lonely
angry,furious
angry,annoyed
disgusted,hopeful
surprised,angry
caring,guilty
jealous,proud
furious,furious
joyful,jealous
terrified,devastated
content,nostalgic
surprised,guilty
nostalgic,nostalgic
terrified,guilty
afraid,angry
proud,confident
sentimental,sentimental
guilty,devastated
sad,sentimental
excited,surprised
furious,trusting
hopeful,content
jealous,sentimental
ashamed,afraid
nostalgic,proud
angry,content
proud,guilty
trusting,prepared
grateful,grateful
angry,trusting
angry,embarrassed
grateful,disappointed
anticipating,prepared
lonely,lonely
afraid,apprehensive
sad,furious
anxious,anxious
anxious,apprehensive
embarrassed,impressed
surprised,joyful
anxious,anxious
nostalgic,nostalgic
disappointed,lonely
annoyed,furious
nostalgic,sentimental
disgusted,disgusted
anticipating,anticipating
disappointed,lonely
devastated,embarrassed
grateful,surprised
prepared,content
excited,content
anticipating,joyful
confident,faithful
sentimental,lonely
lonely,lonely
apprehensive,proud
terrified,furious
embarrassed,devastated
disappointed,ashamed
annoyed,caring
nostalgic,nostalgic
devastated,devastated
angry,afraid
joyful,lonely
ashamed,guilty
embarrassed,confident
ashamed,embarrassed
grateful,apprehensive
nostalgic,sentimental
sad,devastated
annoyed,sad
anticipating,sad
joyful,surprised
impressed,impressed
impressed,proud
confident,confident
grateful,grateful
disgusted,disgusted
anxious,lonely
furious,furious
excited,nostalgic
impressed,impressed
angry,devastated
lonely,lonely
surprised,grateful
grateful,proud
angry,annoyed
disgusted,disgusted
joyful,proud
guilty,disgusted
apprehensive,anxious
afraid,impressed
devastated,nostalgic
joyful,surprised
disgusted,disgusted
sentimental,nostalgic
trusting,grateful
content,content
disgusted,annoyed
content,trusting
disgusted,afraid
lonely,lonely
grateful,grateful
angry,anxious
faithful,faithful
nostalgic,surprised
prepared,confident
anticipating,devastated
nostalgic,nostalgic
ashamed,content
anticipating,sad
impressed,caring
surprised,surprised
disgusted,guilty
terrified,terrified
trusting,trusting
lonely,sad
trusting,grateful
anticipating,anticipating
hopeful,content
surprised,anticipating
nostalgic,sentimental
anxious,prepared
surprised,surprised
surprised,disappointed
hopeful,content
prepared,annoyed
furious,disgusted
ashamed,guilty
prepared,anxious
proud,impressed
excited,surprised
faithful,hopeful
embarrassed,embarrassed
prepared,prepared
lonely,lonely
disappointed,grateful
joyful,excited
impressed,afraid
devastated,furious
annoyed,angry
caring,proud
sentimental,sentimental
apprehensive,hopeful
angry,furious
disgusted,surprised
angry,caring
confident,hopeful
disappointed,sentimental
hopeful,proud
apprehensive,anxious
furious,guilty
lonely,lonely
sad,sad
sentimental,surprised
excited,excited
impressed,impressed
afraid,annoyed
afraid,disappointed
terrified,confident
confident,hopeful
ashamed,guilty
content,joyful
surprised,grateful
confident,confident
content,content
anticipating,impressed
surprised,surprised
proud,excited
terrified,embarrassed
nostalgic,nostalgic
angry,furious
hopeful,terrified
furious,annoyed
surprised,surprised
disappointed,angry
anxious,anticipating
disgusted,disgusted
excited,excited
terrified,apprehensive
trusting,prepared
afraid,afraid
jealous,jealous
prepared,prepared
anxious,nostalgic
terrified,terrified
guilty,guilty
devastated,devastated
annoyed,annoyed
surprised,nostalgic
furious,furious
anticipating,confident
caring,surprised
ashamed,sentimental
angry,angry
afraid,confident
nostalgic,proud
anxious,anxious
annoyed,disappointed
angry,sad
excited,proud
terrified,terrified
devastated,terrified
caring,impressed
apprehensive,anticipating
afraid,lonely
jealous,jealous
excited,impressed
excited,anticipating
anticipating,anxious
embarrassed,disgusted
annoyed,annoyed
angry,disappointed
ashamed,embarrassed
hopeful,anticipating
furious,angry
annoyed,annoyed
disgusted,disgusted
hopeful,anticipating
afraid,caring
anticipating,anticipating
devastated,excited
disgusted,angry
afraid,terrified
angry,furious
trusting,proud
excited,excited
ashamed,guilty
sad,angry
sad,trusting
proud,confident
surprised,surprised
sentimental,nostalgic
sad,devastated
furious,furious
confident,proud
surprised,surprised
surprised,guilty
prepared,excited
ashamed,content
excited,excited
apprehensive,guilty
trusting,afraid
sad,sad
confident,anticipating
trusting,grateful
lonely,sad
guilty,guilty
content,confident
embarrassed,embarrassed
anxious,anxious
annoyed,annoyed
nostalgic,nostalgic
disappointed,disappointed
anxious,terrified
faithful,faithful
caring,impressed
jealous,jealous
embarrassed,terrified
angry,anxious
surprised,surprised
afraid,surprised
guilty,guilty
guilty,guilty
nostalgic,nostalgic
terrified,terrified
surprised,surprised
confident,content
guilty,guilty
anxious,sentimental
afraid,hopeful
ashamed,guilty
afraid,terrified
surprised,hopeful
disappointed,angry
proud,proud
apprehensive,anxious
surprised,surprised
lonely,impressed
afraid,apprehensive
prepared,anxious
terrified,caring
sad,sad
afraid,terrified
anxious,excited
content,confident
sad,devastated
guilty,guilty
disgusted,disgusted
lonely,lonely
angry,angry
faithful,guilty
sad,caring
anticipating,hopeful
trusting,trusting
apprehensive,apprehensive
joyful,surprised
hopeful,guilty
caring,caring
confident,confident
surprised,impressed
sentimental,nostalgic
anticipating,anticipating
lonely,content
guilty,surprised
content,jealous
caring,caring
furious,grateful
excited,excited
joyful,surprised
content,afraid
terrified,caring
anticipating,excited
caring,content
sentimental,guilty
excited,surprised
nostalgic,surprised
devastated,devastated
excited,anticipating
afraid,afraid
joyful,joyful
sentimental,nostalgic
excited,content
nostalgic,nostalgic
grateful,content
confident,hopeful
hopeful,excited
prepared,prepared
angry,angry
disappointed,apprehensive
angry,guilty
prepared,anxious
afraid,afraid
disgusted,annoyed
terrified,terrified
lonely,lonely
anticipating,excited
anticipating,excited
embarrassed,embarrassed
surprised,surprised
joyful,impressed
lonely,lonely
prepared,excited
guilty,guilty
confident,anxious
proud,excited
surprised,surprised
disgusted,furious
nostalgic,nostalgic
caring,surprised
sad,devastated
grateful,content
sad,sentimental
ashamed,embarrassed
prepared,nostalgic
proud,proud
afraid,excited
disappointed,impressed
hopeful,proud
lonely,sad
nostalgic,nostalgic
content,devastated
afraid,terrified
apprehensive,apprehensive
anticipating,disappointed
sentimental,devastated
apprehensive,angry
lonely,lonely
impressed,excited
anxious,afraid
trusting,excited
surprised,surprised
anticipating,apprehensive
joyful,surprised
surprised,apprehensive
guilty,furious
sad,faithful
apprehensive,apprehensive
confident,joyful
grateful,grateful
angry,caring
content,content
devastated,sentimental
surprised,jealous
furious,terrified
angry,guilty
sad,sad
joyful,devastated
hopeful,anxious
embarrassed,embarrassed
embarrassed,embarrassed
angry,angry
surprised,surprised
embarrassed,furious
ashamed,guilty
trusting,trusting
devastated,sad
embarrassed,embarrassed
content,caring
prepared,anxious
prepared,content
excited,excited
hopeful,anxious
nostalgic,nostalgic
nostalgic,surprised
prepared,prepared
anxious,anxious
devastated,devastated
prepared,jealous
impressed,surprised
anxious,angry
faithful,confident
lonely,disappointed
proud,hopeful
grateful,sad
surprised,surprised
joyful,prepared
terrified,afraid
trusting,jealous
sad,faithful
surprised,surprised
lonely,lonely
confident,confident
confident,confident
caring,caring
joyful,content
ashamed,guilty
anticipating,excited
grateful,grateful
anxious,angry
lonely,lonely
nostalgic,surprised
grateful,embarrassed
afraid,terrified
prepared,confident
disgusted,annoyed
trusting,embarrassed
surprised,hopeful
confident,hopeful
faithful,annoyed
hopeful,proud
annoyed,caring
joyful,joyful
excited,hopeful
terrified,terrified
anxious,anxious
caring,caring
guilty,surprised
grateful,surprised
trusting,trusting
lonely,anticipating
disgusted,guilty
sentimental,sad
content,prepared
caring,trusting
furious,annoyed
hopeful,anticipating
embarrassed,disgusted
grateful,grateful
devastated,surprised
afraid,terrified
lonely,trusting
surprised,guilty
caring,confident
guilty,guilty
anxious,caring
jealous,jealous
excited,excited
embarrassed,embarrassed
disappointed,disappointed
apprehensive,proud
angry,disappointed
guilty,guilty
anxious,annoyed
faithful,proud
angry,lonely
anxious,prepared
disappointed,grateful
impressed,impressed
angry,annoyed
grateful,content
jealous,jealous
angry,guilty
trusting,trusting
angry,grateful
devastated,angry
annoyed,sad
afraid,disappointed
sentimental,nostalgic
afraid,disgusted
embarrassed,anxious
embarrassed,embarrassed
guilty,faithful
annoyed,caring
disgusted,furious
furious,devastated
sentimental,prepared
proud,proud
sad,lonely
disgusted,disgusted
angry,terrified
proud,proud
confident,embarrassed
grateful,grateful
content,content
anxious,guilty
joyful,impressed
anticipating,joyful
anxious,confident
anticipating,anticipating
jealous,embarrassed
disgusted,disgusted
afraid,terrified
embarrassed,anxious
grateful,terrified
furious,furious
hopeful,excited
angry,embarrassed
confident,confident
surprised,surprised
angry,angry
anxious,guilty
content,jealous
disgusted,disgusted
devastated,nostalgic
apprehensive,jealous
faithful,sad
guilty,guilty
content,prepared
disappointed,disappointed
surprised,surprised
guilty,guilty
faithful,disgusted
furious,ashamed
embarrassed,embarrassed
grateful,grateful
prepared,hopeful
annoyed,annoyed
sad,sad
sad,faithful
proud,proud
angry,furious
anticipating,anxious
sad,devastated
afraid,annoyed
jealous,excited
ashamed,guilty
faithful,faithful
trusting,trusting
terrified,terrified
confident,hopeful
afraid,content
proud,proud
excited,excited
terrified,terrified
impressed,impressed
annoyed,embarrassed
proud,grateful
faithful,trusting
grateful,afraid
caring,caring
jealous,annoyed
apprehensive,disgusted
faithful,surprised
guilty,guilty
ashamed,guilty
caring,joyful
surprised,surprised
excited,excited
content,nostalgic
guilty,guilty
sad,sad
confident,anticipating
devastated,proud
surprised,sentimental
furious,angry
caring,joyful
angry,furious
embarrassed,embarrassed
excited,content
afraid,jealous
hopeful,faithful
excited,anxious
joyful,content
surprised,faithful
hopeful,hopeful
surprised,nostalgic
disgusted,joyful
proud,proud
joyful,surprised
nostalgic,sentimental
content,faithful
grateful,grateful
surprised,surprised
proud,confident
surprised,embarrassed
terrified,devastated
apprehensive,proud
surprised,disappointed
faithful,ashamed
prepared,anticipating
anticipating,excited
lonely,lonely
angry,furious
apprehensive,apprehensive
ashamed,guilty
furious,annoyed
apprehensive,apprehensive
confident,proud
guilty,guilty
surprised,surprised
devastated,devastated
terrified,caring
proud,proud
impressed,impressed
confident,terrified
caring,impressed
anticipating,content
terrified,prepared
disappointed,hopeful
disgusted,disgusted
afraid,anxious
nostalgic,nostalgic
sad,annoyed
embarrassed,ashamed
afraid,terrified
grateful,grateful
sad,lonely
apprehensive,jealous
surprised,apprehensive
apprehensive,hopeful
disappointed,surprised
sad,sad
disappointed,jealous
joyful,surprised
annoyed,lonely
sad,caring
ashamed,caring
afraid,terrified
prepared,hopeful
disappointed,disgusted
disappointed,anxious
prepared,prepared
devastated,caring
angry,angry
disgusted,jealous
embarrassed,embarrassed
trusting,trusting
ashamed,ashamed
sad,devastated
embarrassed,embarrassed
jealous,disappointed
disappointed,surprised
grateful,grateful
annoyed,annoyed
apprehensive,guilty
joyful,excited
joyful,proud
content,guilty
impressed,trusting
disappointed,guilty
afraid,afraid
joyful,surprised
sad,sad
surprised,grateful
faithful,hopeful
devastated,devastated
surprised,embarrassed
ashamed,guilty
excited,excited
hopeful,surprised
embarrassed,embarrassed
annoyed,disgusted
embarrassed,embarrassed
anticipating,hopeful
ashamed,guilty
faithful,anxious
hopeful,hopeful
disappointed,grateful
disgusted,caring
surprised,surprised
hopeful,impressed
confident,lonely
annoyed,annoyed
surprised,annoyed
terrified,terrified
terrified,apprehensive
devastated,sad
embarrassed,embarrassed
anticipating,excited
angry,annoyed
sentimental,sentimental
prepared,lonely
excited,excited
anxious,annoyed
trusting,lonely
faithful,caring
anticipating,hopeful
disgusted,disgusted
surprised,terrified
surprised,terrified
sentimental,prepared
faithful,grateful
joyful,proud
proud,proud
angry,caring
sad,anticipating
hopeful,anticipating
ashamed,proud
devastated,guilty
apprehensive,nostalgic
faithful,hopeful
embarrassed,embarrassed
nostalgic,afraid
excited,jealous
guilty,guilty
caring,surprised
devastated,surprised
furious,disappointed
anticipating,excited
confident,prepared
confident,angry
sentimental,grateful
lonely,afraid
anticipating,surprised
hopeful,hopeful
proud,prepared
furious,furious
disappointed,guilty
terrified,guilty
proud,impressed
terrified,terrified
anticipating,anticipating
impressed,impressed
angry,confident
anxious,terrified
sad,disappointed
jealous,lonely
devastated,disappointed
